IMU initialize. Pass/Fail: 1
Calibrating gyroscope, hold IMU stationary.
---------------------------------------
Gyroscope bias values:
	 X: 99.785
	 Y: 34.41
	 Z: 51.297
---------------------------------------
ENC1 , ENC2 , ENC3 , SWITCH , PITCH , ROLL
0 , 0 , 0 , 2 , -0.031, 0.489
0 , 0 , 0 , 2 , -0.0622, 0.964
0 , 0 , 0 , 2 , -0.0868, 1.43
0 , 0 , 0 , 2 , -0.116, 1.88
0 , 0 , 0 , 2 , -0.145, 2.33
0 , 0 , 0 , 2 , -0.168, 2.77
0 , 0 , 0 , 2 , -0.198, 3.2
0 , 0 , 0 , 2 , -0.218, 3.62
0 , 0 , 0 , 2 , -0.24, 4.03
0 , 0 , 0 , 2 , -0.269, 4.44
0 , 0 , 0 , 2 , -0.294, 4.82
0 , 0 , 0 , 2 , -0.319, 5.21
0 , 0 , 0 , 2 , -0.34, 5.59
0 , 0 , 0 , 2 , -0.366, 5.96
0 , 0 , 0 , 2 , -0.39, 6.33
0 , 0 , 0 , 2 , -0.419, 6.69
0 , 0 , 0 , 2 , -0.443, 7.04
0 , 0 , 0 , 2 , -0.465, 7.38
0 , 0 , 0 , 2 , -0.483, 7.72
0 , 0 , 0 , 2 , -0.5, 8.05
0 , 0 , 0 , 2 , -0.522, 8.37
0 , 0 , 0 , 2 , -0.542, 8.69
0 , 0 , 0 , 2 , -0.558, 9
0 , 0 , 0 , 2 , -0.581, 9.31
0 , 0 , 0 , 2 , -0.602, 9.6
0 , 0 , 0 , 2 , -0.619, 9.9
0 , 0 , 0 , 2 , -0.639, 10.2
0 , 0 , 0 , 2 , -0.657, 10.5
0 , 0 , 0 , 2 , -0.673, 10.7
0 , 0 , 0 , 2 , -0.693, 11
0 , 0 , 0 , 2 , -0.705, 11.3
0 , 0 , 0 , 2 , -0.727, 11.5
0 , 0 , 0 , 2 , -0.742, 11.8
0 , 0 , 0 , 2 , -0.759, 12
0 , 0 , 0 , 2 , -0.774, 12.3
0 , 0 , 0 , 2 , -0.792, 12.5
0 , 0 , 0 , 2 , -0.802, 12.8
0 , 0 , 0 , 2 , -0.818, 13
0 , 0 , 0 , 2 , -0.832, 13.2
0 , 0 , 0 , 2 , -0.847, 13.4
0 , 0 , 0 , 2 , -0.858, 13.7
0 , 0 , 0 , 2 , -0.872, 13.9
0 , 0 , 0 , 2 , -0.886, 14.1
0 , 0 , 0 , 2 , -0.893, 14.3
0 , 0 , 0 , 2 , -0.91, 14.5
0 , 0 , 0 , 2 , -0.921, 14.7
0 , 0 , 0 , 2 , -0.93, 14.9
0 , 0 , 0 , 2 , -0.942, 15
0 , 0 , 0 , 2 , -0.956, 15.2
0 , 0 , 0 , 2 , -0.971, 15.4
0 , 0 , 0 , 2 , -0.985, 15.6
0 , 0 , 0 , 2 , -0.994, 15.8
0 , 0 , 0 , 2 , -1, 15.9
0 , 0 , 0 , 2 , -1.01, 16.1
0 , 0 , 0 , 2 , -1.03, 16.2
0 , 0 , 0 , 2 , -1.04, 16.4
0 , 0 , 0 , 2 , -1.05, 16.6
0 , 0 , 0 , 2 , -1.06, 16.7
0 , 0 , 0 , 2 , -1.07, 16.9
0 , 0 , 0 , 2 , -1.08, 17
0 , 0 , 0 , 2 , -1.09, 17.2
0 , 0 , 0 , 2 , -1.09, 17.3
0 , 0 , 0 , 2 , -1.1, 17.4
0 , 0 , 0 , 2 , -1.1, 17.6
0 , 0 , 0 , 2 , -1.11, 17.7
0 , 0 , 0 , 2 , -1.12, 17.8
0 , 0 , 0 , 2 , -1.13, 18
0 , 0 , 0 , 2 , -1.14, 18.1
0 , 0 , 0 , 2 , -1.15, 18.2
0 , 0 , 0 , 2 , -1.16, 18.3
0 , 0 , 0 , 2 , -1.18, 18.4
0 , 0 , 0 , 2 , -1.19, 18.6
0 , 0 , 0 , 2 , -1.2, 18.7
0 , 0 , 0 , 2 , -1.21, 18.8
0 , 0 , 0 , 2 , -1.21, 18.9
0 , 0 , 0 , 2 , -1.22, 19
0 , 0 , 0 , 2 , -1.23, 19.1
0 , 0 , 0 , 2 , -1.23, 19.2
0 , 0 , 0 , 2 , -1.24, 19.3
0 , 0 , 0 , 2 , -1.25, 19.4
0 , 0 , 0 , 2 , -1.25, 19.5
0 , 0 , 0 , 2 , -1.26, 19.6
0 , 0 , 0 , 2 , -1.26, 19.7
0 , 0 , 0 , 2 , -1.27, 19.8
0 , 0 , 0 , 2 , -1.27, 19.9
0 , 0 , 0 , 2 , -1.29, 20
0 , 0 , 0 , 2 , -1.29, 20
0 , 0 , 0 , 2 , -1.29, 20.1
0 , 0 , 0 , 2 , -1.29, 20.2
0 , 0 , 0 , 2 , -1.3, 20.3
0 , 0 , 0 , 2 , -1.31, 20.4
0 , 0 , 0 , 2 , -1.31, 20.4
0 , 0 , 0 , 2 , -1.32, 20.5
0 , 0 , 0 , 2 , -1.32, 20.6
0 , 0 , 0 , 2 , -1.33, 20.7
0 , 0 , 0 , 2 , -1.33, 20.7
0 , 0 , 0 , 2 , -1.33, 20.8
0 , 0 , 0 , 2 , -1.33, 20.9
0 , 0 , 0 , 2 , -1.33, 20.9
0 , 0 , 0 , 2 , -1.34, 21
0 , 0 , 0 , 2 , -1.34, 21.1
0 , 0 , 0 , 2 , -1.35, 21.1
0 , 0 , 0 , 2 , -1.35, 21.2
0 , 0 , 0 , 2 , -1.35, 21.2
0 , 0 , 0 , 2 , -1.36, 21.3
0 , 0 , 0 , 2 , -1.36, 21.4
0 , 0 , 0 , 2 , -1.36, 21.4
0 , 0 , 0 , 2 , -1.37, 21.5
0 , 0 , 0 , 2 , -1.37, 21.5
0 , 0 , 0 , 2 , -1.37, 21.6
0 , 0 , 0 , 2 , -1.38, 21.6
0 , 0 , 0 , 2 , -1.38, 21.7
0 , 0 , 0 , 2 , -1.38, 21.7
0 , 0 , 0 , 2 , -1.39, 21.8
0 , 0 , 0 , 2 , -1.39, 21.8
0 , 0 , 0 , 2 , -1.39, 21.9
0 , 0 , 0 , 2 , -1.4, 21.9
0 , 0 , 0 , 2 , -1.4, 22
0 , 0 , 0 , 2 , -1.41, 22
0 , 0 , 0 , 2 , -1.41, 22
0 , 0 , 0 , 2 , -1.41, 22.1
0 , 0 , 0 , 2 , -1.41, 22.1
0 , 0 , 0 , 2 , -1.42, 22.2
0 , 0 , 0 , 2 , -1.42, 22.2
0 , 0 , 0 , 2 , -1.42, 22.3
0 , 0 , 0 , 2 , -1.42, 22.3
0 , 0 , 0 , 2 , -1.42, 22.3
0 , 0 , 0 , 2 , -1.42, 22.4
0 , 0 , 0 , 2 , -1.43, 22.4
0 , 0 , 0 , 2 , -1.43, 22.4
0 , 0 , 0 , 2 , -1.43, 22.5
0 , 0 , 0 , 2 , -1.43, 22.5
0 , 0 , 0 , 2 , -1.43, 22.5
